ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode,hour,time_of_day
2024-11-10 13:13:48+00:00,tizen,214757,US,68.42.71.111,After the First Kiss,Faye Webster,After the First Kiss,spotify:track:5bPwGutk2BKA46R4hQuZZ0,,,,,,,,trackdone,trackdone,False,False,False,1731244213,False,13,afternoon
2024-11-10 13:16:20+00:00,tizen,152293,US,68.42.71.111,It's Called: Freefall,Rainbow Kitten Surprise,"How to: Friend, Love, Freefall",spotify:track:474uVhyGgK5MtY9gMcDgGl,,,,,,,,trackdone,trackdone,False,False,False,1731244428,False,13,afternoon
2024-11-10 13:19:56+00:00,tizen,216600,US,68.42.71.111,White Teeth Teens,Lorde,Pure Heroine,spotify:track:35kahykNu00FPysz3C2euR,,,,,,,,trackdone,trackdone,False,False,False,1731244580,False,13,afternoon
2024-11-10 13:21:04+00:00,tizen,67638,US,68.42.71.111,Attracted to You,PinkPantheress,Attracted To You,spotify:track:4fPjI40ElIwJQ4DJJxSCOe,,,,,,,,trackdone,trackdone,False,False,False,1731244796,False,13,afternoon
2024-11-10 13:24:37+00:00,tizen,213253,US,68.42.71.111,North,Clairo,Immunity,spotify:track:0zzz9l8ZX5vDBJmNHnWOom,,,,,,,,trackdone,trackdone,False,False,False,1731244864,False,13,afternoon
2024-11-10 13:27:39+00:00,tizen,181587,US,68.42.71.111,Still Beating,Mac DeMarco,This Old Dog,spotify:track:4LpUpiYoZ2M3Z1kmhn4EQo,,,,,,,,trackdone,trackdone,False,False,False,1731245077,False,13,afternoon
2024-11-10 13:29:20+00:00,tizen,100716,US,68.42.71.111,We'll Never Have Sex,Leith Ross,To Learn,spotify:track:4Do3s3aivnqbUAvUEDEsAG,,,,,,,,trackdone,trackdone,False,False,False,1731245259,False,13,afternoon
2024-11-10 13:32:41+00:00,tizen,201000,US,68.42.71.111,Next Exit,Vacations,No Place Like Home,spotify:track:3aI2wWEeNmtYDvsAyJahyi,,,,,,,,trackdone,trackdone,False,False,False,1731245360,False,13,afternoon
2024-11-10 13:36:30+00:00,tizen,229668,US,68.42.71.111,Caesar on a TV Screen,The Last Dinner Party,Prelude to Ecstasy,spotify:track:2w4cRBhWvHCsDpvyhiDkjq,,,,,,,,trackdone,trackdone,False,False,False,1731245561,False,13,afternoon
2024-11-10 13:39:58+00:00,tizen,207455,US,68.42.71.111,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",Kali Uchis,Isolation,spotify:track:1otG6j1WHNvl9WgXLWkHTo,,,,,,,,trackdone,trackdone,False,False,False,1731245790,False,13,afternoon
