ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode,hour,time_of_day
2024-04-13 08:50:43+00:00,ios,228639,US,35.1.41.148,we can't be friends (wait for your love),Ariana Grande,eternal sunshine,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,,,,,,,,trackdone,trackdone,True,False,False,1712998015,False,8,morning
2024-04-13 08:54:08+00:00,ios,204560,US,35.1.41.148,Snowshoes,Caamp,Lavender Days,spotify:track:69BWKQ0qeTnPHdk4lxuLcD,,,,,,,,trackdone,trackdone,True,False,False,1712998244,False,8,morning
2024-04-13 08:55:56+00:00,ios,107280,US,35.1.41.148,Westcoast Collective,Dominic Fike,"Don't Forget About Me, Demos",spotify:track:7rNun2AyLu4u4rQpRt0iS9,,,,,,,,trackdone,trackdone,True,False,False,1712998449,False,8,morning
2024-04-13 08:59:13+00:00,ios,196388,US,35.1.41.148,Fight the Vegans,WILLIS,Fight the Vegans,spotify:track:2uYaaFzUMIoTbs6a2HkTxM,,,,,,,,trackdone,trackdone,True,False,False,1712998557,False,8,morning
2024-04-13 09:01:56+00:00,ios,162560,US,35.1.41.148,Hey Lover!,Wabie,Cyclones and Hey Lover,spotify:track:7rC3P7tpWriaC4hYWKwGQd,,,,,,,,trackdone,trackdone,True,False,False,1712998753,False,9,morning
2024-04-13 09:07:37+00:00,ios,339890,US,35.1.41.148,Margaret (feat. Bleachers),Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,spotify:track:1o82DwNisONAd2mu1RcGE6,,,,,,,,trackdone,trackdone,True,False,False,1712998916,False,9,morning
2024-04-13 09:10:38+00:00,ios,181481,US,35.1.41.148,One Of Your Girls,Troye Sivan,Something To Give Each Other,spotify:track:5Eh1nj7IjV9lwpcKAkidyY,,,,,,,,trackdone,trackdone,True,False,False,1712999257,False,9,morning
2024-04-13 09:13:37+00:00,ios,178352,US,35.1.41.148,Pretty Girl,Clairo,Pretty Girl,spotify:track:0KyAGiNGUytG5JLxJu4F6l,,,,,,,,trackdone,trackdone,True,False,False,1712999439,False,9,morning
2024-04-13 09:17:42+00:00,ios,243962,US,35.1.41.148,She Calls Me Back (with Kacey Musgraves),Noah Kahan,She Calls Me Back (with Kacey Musgraves),spotify:track:0p1hBWPaSxUDTSa32PyhnU,,,,,,,,trackdone,trackdone,True,False,False,1712999618,False,9,morning
2024-04-13 09:20:37+00:00,ios,175304,US,35.1.41.148,Nicotine Dream,Breakup Shoes,Nicotine Dream EP,spotify:track:0bJs66Q7uwNby1vPt8HM2E,,,,,,,,trackdone,trackdone,True,False,False,1712999862,False,9,morning
2024-04-13 09:24:15+00:00,ios,217466,US,35.1.41.148,Big Black Car,Gregory Alan Isakov,This Empty Northern Hemisphere,spotify:track:3Kj2EWpIBnvETsYq4cq0IH,,,,,,,,trackdone,trackdone,True,False,False,1713000038,False,9,morning
2024-04-13 09:26:56+00:00,ios,160000,US,35.1.41.148,Remember You Omnichord,Trillian,Remember You Omnichord,spotify:track:1Q2BQP5bR6G0ZydJItu8mq,,,,,,,,trackdone,trackdone,True,False,False,1713000256,False,9,morning
2024-04-13 09:28:45+00:00,ios,108000,US,35.1.41.148,Big Love Ahead,Mon Rovîa,Big Love Ahead,spotify:track:3RGfmaB407YxayMDaV2jlO,,,,,,,,trackdone,trackdone,True,False,False,1713000416,False,9,morning
2024-04-13 09:33:05+00:00,ios,260520,US,35.1.41.148,Bags,Clairo,Immunity,spotify:track:6UFivO2zqqPFPoQYsEMuCc,,,,,,,,trackdone,trackdone,True,False,False,1713000525,False,9,morning
2024-04-13 09:35:06+00:00,ios,120058,US,35.1.41.148,Sage,Richy Mitch & The Coal Miners,RMCM,spotify:track:62PCV9ANdpPd9FhWgNljeW,,,,,,,,trackdone,trackdone,True,False,False,1713000786,False,9,morning
2024-04-13 09:38:55+00:00,ios,227749,US,35.1.41.148,In The Kitchen,Reneé Rapp,Everything To Everyone,spotify:track:2VFetGqLYq0Pc8ZtRYCaeL,,,,,,,,trackdone,trackdone,True,False,False,1713000906,False,9,morning
2024-04-13 09:41:27+00:00,ios,152666,US,35.1.41.148,favorite crime,Olivia Rodrigo,SOUR,spotify:track:5JCoSi02qi3jJeHdZXMmR8,,,,,,,,trackdone,trackdone,True,False,False,1713001135,False,9,morning
2024-04-13 09:44:13+00:00,ios,165376,US,35.1.41.148,Settle Down - Acoustic,Woodlock,Settle Down,spotify:track:5TSt0yJteAUApb7X3u5PJl,,,,,,,,trackdone,trackdone,True,False,False,1713001288,False,9,morning
2024-04-13 09:48:35+00:00,ios,261734,US,35.1.41.148,August,flipturn,Citrona,spotify:track:0elCmyfISzkP5tAYTVuYjS,,,,,,,,trackdone,trackdone,True,False,False,1713001454,False,9,morning
2024-04-13 09:51:09+00:00,ios,153514,US,35.1.41.148,Wish We Could Be Friends,Krooked Kings,All Out of Good Days,spotify:track:0pIGVspjZpNrKNcwvYW16P,,,,,,,,trackdone,trackdone,True,False,False,1713001716,False,9,morning
2024-04-13 09:53:37+00:00,ios,147000,US,35.1.41.148,WET SOCKS,Richy Mitch & The Coal Miners,Subliming,spotify:track:1juFn2eqd74iTPl0RyYRiX,,,,,,,,trackdone,trackdone,True,False,False,1713001870,False,9,morning
2024-04-13 09:56:17+00:00,ios,159212,US,35.1.41.148,Stay,The Hails,What's Your Motive (Deluxe),spotify:track:4ABxROGzabee4HvqzH8sSn,,,,,,,,trackdone,trackdone,True,False,False,1713002018,False,9,morning
2024-04-13 09:58:59+00:00,ios,161567,US,35.1.41.148,High,Stephen Sanchez,Angel Face,spotify:track:5hlPrSCx9BvnQ3rCTkblMZ,,,,,,,,trackdone,trackdone,True,False,False,1713002177,False,9,morning
2024-04-13 10:01:08+00:00,ios,128000,US,35.1.41.148,Phoebe,Ritt Momney,Her and All of My Friends,spotify:track:0GgqxvvWKECp5gYI9ee4wl,,,,,,,,trackdone,trackdone,True,False,False,1713002339,False,10,morning
